time_s,volts
0.0001536,0.000648093715
0.0001538,0.000577291364
0.000154,0.000496984636
0.0001542,0.000408394992
0.0001544,0.000312881436
0.0001546,0.000211919697
0.0001548,0.000107079462
0.000155,6.29506898e-18
0.0001552,-0.000107635448
0.0001554,-0.000214126106
0.0001556,-0.00031778051
0.0001558,-0.000416943357
0.000156,-0.000510021908
0.0001562,-0.000595511545
0.0001564,-0.000672020057
0.0001566,-0.000738290274
0.0001568,-0.000793220673
0.000157,-0.000835883627
0.0001572,-0.000865540993
0.0001574,-0.000881656769
0.0001576,-0.000883906624
0.0001578,-0.000872184113
0.000158,-0.000846603477
0.0001582,-0.000807498956
0.0001584,-0.000755420618
0.0001586,-0.000691126739
0.0001588,-0.000615572852
0.000159,-0.000529897613
0.0001592,-0.000435405692
0.0001594,-0.000333547949
0.0001596,-0.000225899191
0.0001598,-0.000114133857
0.00016,-3.57766297e-18
0.0001602,0.000114708033
0.0001604,0.000228177784
0.0001606,0.0003386073
0.0001608,0.000444233723
0.000161,0.00054336141
0.0001612,0.000634389121
0.0001614,0.000715835851
0.0001616,0.000786364886
0.0001618,0.000844805691
0.000162,0.000890173277
0.0001622,0.000921684721
0.0001624,0.00093877257
0.0001626,0.000941094895
0.0001628,0.000928541821
0.000163,0.00090123842
0.0001632,0.000859543887
0.0001634,0.000804047009
0.0001636,0.000735557971
0.0001638,0.000655096615
0.000164,0.000563877324
0.0001642,0.000463290742
0.0001644,0.000354882618
0.0001646,0.000240330088
0.0001648,0.00012141576
0.000165,1.42747392e-17
0.0001652,-0.00012200815
0.0001654,-0.000242680962
0.0001656,-0.000360102459
0.0001658,-0.000472398811
0.000166,-0.000577768213
0.0001662,-0.000674509764
0.0001664,-0.000761050892
0.0001666,-0.000835972873
0.0001668,-0.000898034045
0.000167,-0.000946190317
0.0001672,-0.00097961266
0.0001674,-0.000997701268
0.0001676,-0.00100009616
0.0001678,-0.000986684026
0.000168,-0.000957601217
0.0001682,-0.000913232773
0.0001684,-0.000854207519
0.0001686,-0.000781389278
0.0001688,-0.000695864315
0.000169,-0.000598925198
0.0001692,-0.000492051314
0.0001694,-0.00037688634
0.0001696,-0.000255212995
0.0001698,-0.000128925477
0.00017,3.0331014e-18
0.0001702,0.000129536105
0.0001704,0.000257636248
0.0001706,0.00038226689
0.0001708,0.000501439803
0.000171,0.000613243761
0.0001712,0.000715875159
0.0001714,0.000807667079
0.0001716,0.000887116321
0.0001718,0.000952907971
0.000172,0.0010039371
0.0001722,0.00103932724
0.0001724,0.00105844534
0.0001726,0.0010609129
0.0001728,0.00104661317
0.000173,0.00101569424
0.0001732,0.000968567868
0.0001734,0.000905904254
0.0001736,0.000828622586
0.0001738,0.000737877664
0.000174,0.000635042705
0.0001742,0.000521688615
0.0001744,0.000399560038
0.0001746,0.000270548535
0.0001748,0.000136663321
0.000175,8.56727439e-18
0.0001752,-0.000137292214
0.0001754,-0.000273044269
0.0001756,-0.000405101523
0.0001758,-0.000531357919
0.000176,-0.000649789543
0.0001762,-0.000758487041
0.0001764,-0.000855686368
0.0001766,-0.000939797374
0.0001768,-0.00100942977
0.000177,-0.00106341605
0.0001772,-0.00110083097
0.0001774,-0.00112100732
0.0001776,-0.00112354765
0.0001778,-0.00110833177
0.000178,-0.00107551991
0.0001782,-0.00102555149
0.0001784,-0.000959139381
0.0001786,-0.000877259874
0.0001788,-0.000781138422
0.000179,-0.000672231359
0.0001792,-0.000552203889
0.0001794,-0.000422904664
0.0001796,-0.000286337353
0.0001798,-0.000144629619
0.00018,-5.0988754e-18
0.0001802,0.000145276802
0.0001804,0.000288905672
0.0001806,0.000428607316
0.0001808,0.000562154412
0.000181,0.00068740709
0.0001812,0.000802347196
0.0001814,0.000905110771
0.0001816,0.000994018239
0.0001818,0.00106760181
0.000182,0.00112462965
0.0001822,0.00116412642
0.0001824,0.00118538985
0.0001826,0.00118800306
0.0001828,0.00117184241
0.000183,0.00113708076
0.0001832,0.00108418604
0.0001834,0.00101391513
0.0001836,0.000927303179
0.0001838,0.000825648402
0.000184,0.00071049272
0.0001842,0.000583598412
0.0001844,0.000446921194
0.0001846,0.000302580109
0.0001848,0.000152824704
0.000185,1.85613736e-17
0.0001852,-0.000153490204
0.0001854,-0.00030522112
0.0001856,-0.000452785252
0.0001858,-0.000593830571
0.000186,-0.000726097978
0.0001862,-0.000847457461
0.0001864,-0.000955942357
0.0001866,-0.00104978119
0.0001868,-0.00112742653
0.000187,-0.00118758048
0.0001872,-0.00122921625
0.0001874,-0.00125159561
0.0001876,-0.00125428181
0.0001878,-0.00123714774
0.000188,-0.00120037934
0.0001882,-0.00114447395
0.0001884,-0.0010702338
0.0001886,-0.000978754596
0.0001888,-0.000871409466
0.000189,-0.000749828385
0.0001892,-0.000615873499
0.0001894,-0.000471610634
0.0001896,-0.000319277482
